链接,户型,成交价格(万),成交日期,成交周期(天),单价,面积(平米),朝向,装修,楼层,楼型
https://bj.ke.com/ershoufang/101126159931.html,3室1厅,540,2024-08-25,3,7.02,76.9,东 西,简装,高楼层(共12层),板塔结合
https://bj.ke.com/ershoufang/101123195292.html,1室1厅,310,2024-08-18,168,7.14,43.4,南,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101125932386.html,2室1厅,500,2024-08-17,4,6.65,75.2,东 南,其他,底层(共16层),塔楼
https://bj.ke.com/ershoufang/101123940305.html,2室1厅,357,2024-07-30,107,6.61,54.0,南 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101124599146.html,2室1厅,415,2024-07-27,62,7.73,53.72,南 北,精装,底层(共4层),板楼
https://bj.ke.com/ershoufang/101124287708.html,3室1厅,640,2024-07-27,64,8.05,79.5,东南 南,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101125092937.html,2室1厅,525,2024-06-29,7,9.06,57.97,南 北,精装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101123517443.html,2室1厅,392,2024-06-11,83,6.82,57.5,东 西,简装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101123221988.html,2室1厅,470,2024-06-11,99,8.38,56.1,南 北,精装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101123930740.html,3室1厅,610,2024-06-08,56,8.46,72.1,东 南 北,简装,顶层(共4层),板楼
https://bj.ke.com/ershoufang/101123991305.html,2室2厅,529,2024-05-19,31,6.89,76.8,南 西,简装,中楼层(共16层),塔楼
https://bj.ke.com/ershoufang/101123223519.html,2室2厅,488,2024-05-10,66,6.30,77.4,东南 西南,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101123113969.html,2室1厅,388,2024-03-26,27,6.15,63.1,东 西,毛坯,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101122973990.html,2室1厅,536,2024-03-24,33,9.25,57.97,南 北,简装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101122464989.html,1室1厅,358,2024-03-14,77,8.33,43.0,南,毛坯,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101121547121.html,1室1厅,368,2024-03-07,137,8.82,41.7,东 北,精装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101122095503.html,2室1厅,495,2024-03-03,98,7.04,70.28,南 北,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101122642362.html,2室1厅,478,2024-02-07,24,8.69,55.0,南 北,精装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101122304148.html,1室1厅,354,2024-01-13,30,7.50,47.2,西,其他,底层(共12层),板塔结合
https://bj.ke.com/ershoufang/101122461145.html,2室1厅,521,2024-01-09,7,8.79,59.3,南 北,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101122494681.html,2室1厅,715,2024-01-04,,8.97,79.7,南 北,毛坯,低楼层(共9层),板楼
https://bj.ke.com/ershoufang/101119518445.html,3室2厅,912,2024-01-03,218,8.72,104.6,东南,精装,高楼层(共16层),塔楼
https://bj.ke.com/ershoufang/101120787465.html,2室1厅,505,2023-12-25,120,8.52,59.3,南 北,简装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101121216944.html,3室1厅,661,2023-12-24,91,8.49,77.89,南 北,精装,顶层(共10层),板楼
https://bj.ke.com/ershoufang/101121843340.html,1室1厅,378,2023-12-22,45,8.67,43.6,东,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101121741816.html,2室1厅,525,2023-12-21,50,7.19,73.0,东 西,简装,高楼层(共12层),板塔结合
https://bj.ke.com/ershoufang/101121286490.html,3室1厅,450,2023-12-09,72,10.07,44.7,南 西 北,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101120922017.html,3室1厅,587,2023-12-03,79,7.63,76.9,东 西,简装,低楼层(共12层),板塔结合
https://bj.ke.com/ershoufang/101121909923.html,1室1厅,356,2023-12-02,19,8.32,42.8,南,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101121887341.html,2室1厅,480,2023-11-26,16,8.89,54.0,南 北,精装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101120847831.html,2室1厅,500,2023-11-25,87,8.42,59.4,东 西,简装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101121377363.html,2室1厅,645,2023-10-29,23,8.40,76.8,南 西,精装,低楼层(共16层),塔楼
https://bj.ke.com/ershoufang/101121078989.html,3室1厅,630,2023-10-06,22,9.25,68.1,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101121242744.html,2室1厅,569,2023-09-29,4,10.14,56.1,南 北,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101120577699.html,2室1厅,620,2023-09-23,37,9.35,66.3,东 西 北,精装,低楼层(共12层),板塔结合
https://bj.ke.com/ershoufang/101120901892.html,2室1厅,535,2023-09-04,1,9.83,54.4,南 北,其他,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101119813283.html,1室1厅,401,2023-09-03,76,9.35,42.9,西,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101120333420.html,3室2厅,1242,2023-08-20,23,8.21,151.2,西北,精装,中楼层(共15层),板塔结合
https://bj.ke.com/ershoufang/101117850180.html,3室1厅,636,2023-08-10,184,8.27,76.9,东 西,简装,顶层(共12层),板塔结合
https://bj.ke.com/ershoufang/101120404532.html,2室1厅,526,2023-08-06,5,9.15,57.5,东 西,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101120100130.html,2室1厅,665,2023-08-02,21,10.03,66.3,南 北,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101119916089.html,2室1厅,534,2023-07-30,29,9.80,54.5,南 北,精装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101118986085.html,2室1厅,504,2023-07-16,84,8.77,57.5,南 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101119527899.html,3室1厅,678,2023-07-02,32,9.80,69.2,东 西 北,精装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101118354569.html,2室1厅,715,2023-06-11,28,9.35,76.5,西南,简装,中楼层(共16层),塔楼
https://bj.ke.com/ershoufang/101118491491.html,1室1厅,417,2023-05-30,72,9.72,42.9,西,精装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101119052414.html,2室1厅,588,2023-05-22,18,10.39,56.6,南 北,精装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101119344954.html,2室1厅,600,2023-05-22,3,10.43,57.5,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101118058669.html,1室1厅,431,2023-05-14,67,9.89,43.6,东,精装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101118548751.html,2室1厅,507,2023-05-14,49,10.14,50.0,南 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101117725428.html,2室1厅,535,2023-05-10,101,9.37,57.1,南 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101118918668.html,2室1厅,633,2023-05-08,20,10.14,62.45,南 北,毛坯,中楼层(共10层),板楼
https://bj.ke.com/ershoufang/101117979316.html,2室1厅,542,2023-04-24,68,9.49,57.1,东,精装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101118933137.html,2室1厅,541,2023-04-22,2,9.91,54.6,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101118911064.html,2室1厅,636,2023-04-19,2,10.97,57.97,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101117627861.html,1室1厅,434,2023-04-16,96,10.09,43.0,南,简装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101117840523.html,3室1厅,750,2023-04-06,1,10.92,68.7,南 西 北,其他,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101117407476.html,2室1厅,715,2023-04-02,103,9.35,76.5,西南,精装,低楼层(共16层),塔楼
https://bj.ke.com/ershoufang/101117751079.html,3室1厅,680,2023-03-15,34,9.63,70.6,东 西,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101117042106.html,2室1厅,538,2023-03-11,131,10.07,53.4,南 北,简装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101118221616.html,2室1厅,501,2023-03-08,6,9.84,50.9,东 西,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101117714357.html,3室1厅,708,2023-03-01,31,9.66,73.3,南 北,其他,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101117168827.html,2室1厅,650,2023-02-18,95,8.90,73.0,东 西,精装,中楼层(共12层),板塔结合
https://bj.ke.com/ershoufang/101117870523.html,1室1厅,435,2023-02-12,3,9.62,45.2,西,其他,低楼层(共12层),板塔结合
https://bj.ke.com/ershoufang/101117188148.html,1室1厅,445,2023-02-11,74,9.89,45.0,南,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101117176875.html,1室1厅,481,2023-02-02,86,10.23,47.0,东 南 西,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101117712228.html,2室1厅,489,2023-01-31,3,10.94,44.7,南 北,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101117720387.html,2室1厅,599,2023-01-31,2,10.47,57.2,南 北,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101117258441.html,2室1厅,547,2023-01-30,73,9.56,57.2,南 北,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101117306296.html,1室1厅,435,2023-01-16,44,9.62,45.2,西,精装,低楼层(共12层),板塔结合
https://bj.ke.com/ershoufang/101116772133.html,2室1厅,590,2023-01-14,106,9.80,60.2,东 南 西 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101117176045.html,2室1厅,627,2023-01-02,53,10.57,59.3,南 北,精装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101116918360.html,2室1厅,577,2022-12-18,65,7.91,72.9,东 西,简装,底层(共12层),板塔结合
https://bj.ke.com/ershoufang/101115887478.html,1室1厅,424,2022-12-10,147,9.86,43.0,南,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101117235959.html,2室1厅,530,2022-12-10,24,9.87,53.72,南 北,简装,底层(共5层),板楼
https://bj.ke.com/ershoufang/101116945256.html,2室1厅,777,2022-11-11,23,10.04,77.4,东南 西,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101116971753.html,2室1厅,643,2022-11-08,18,10.24,62.8,南 北,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101116809566.html,2室1厅,630,2022-10-30,22,10.70,58.9,南 北,精装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101116860935.html,3室1厅,786,2022-10-25,15,9.61,81.8,南 北,简装,中楼层(共10层),板塔结合
https://bj.ke.com/ershoufang/101114829040.html,1室1厅,428,2022-10-07,167,9.88,43.3,东,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101116757502.html,2室1厅,539,2022-10-06,8,9.96,54.1,南 北,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101116796156.html,2室1厅,643,2022-10-04,1,10.21,63.0,南 北,其他,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101114108840.html,1室1厅,499,2022-09-25,197,9.96,50.1,南,精装,高楼层(共10层),板塔结合
