链接,户型,成交价格(万),成交日期,成交周期(天),单价,面积(平米),朝向,装修,楼层,楼型
https://bj.ke.com/ershoufang/101124043512.html,2室1厅,429,2024-07-20,91,8.19,52.4,南 北,简装,底层(共4层),板楼
https://bj.ke.com/ershoufang/101124172642.html,1室1厅,346,2024-05-24,26,7.67,45.1,南,精装,中楼层(共4层),板楼
https://bj.ke.com/ershoufang/101119634361.html,2室1厅,577,2024-02-29,250,8.41,68.6,南 北,精装,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/101122210543.html,2室1厅,825,2024-02-26,80,10.42,79.16,南 北,精装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101121551698.html,3室1厅,650,2024-01-20,93,9.09,71.5,东 南 北,毛坯,中楼层(共4层),板楼
https://bj.ke.com/ershoufang/101120052357.html,2室1厅,628,2023-12-27,173,9.15,68.6,南 北,精装,顶层(共5层),板楼
https://bj.ke.com/ershoufang/101121977683.html,3室1厅,1210,2023-12-23,34,10.62,113.92,南 北,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101122151571.html,2室1厅,612,2023-12-10,7,8.92,68.6,南 北,精装,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/101121214655.html,3室1厅,1189,2023-09-29,6,10.44,113.92,南 北,简装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101118142705.html,2室1厅,546,2023-09-23,203,9.70,56.3,南 北,简装,顶层(共4层),板楼
https://bj.ke.com/ershoufang/101119830642.html,3室1厅,690,2023-08-14,54,9.66,71.4,南 北,精装,中楼层(共4层),板楼
https://bj.ke.com/ershoufang/101119830667.html,2室1厅,823,2023-08-02,42,10.40,79.16,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101119128496.html,3室1厅,927,2023-05-31,27,10.24,90.5,南 北,简装,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/101118250569.html,1室1厅,452,2023-04-23,44,10.30,43.9,南,精装,中楼层(共4层),板楼
https://bj.ke.com/ershoufang/101118365561.html,1室1厅,438,2023-04-16,34,10.00,43.8,南,简装,中楼层(共4层),板楼
https://bj.ke.com/ershoufang/101117827751.html,1室1厅,437,2023-03-11,34,10.43,41.9,南,精装,中楼层(共4层),板楼
https://bj.ke.com/ershoufang/101117745477.html,1室1厅,450,2023-03-06,35,9.11,49.4,南,简装,顶层(共5层),板楼
https://bj.ke.com/ershoufang/101118097585.html,2室1厅,576,2023-03-05,3,10.29,56.0,南 北,简装,中楼层(共4层),板楼
https://bj.ke.com/ershoufang/101118096444.html,2室1厅,590,2023-03-05,10,10.28,57.4,南 北,精装,顶层(共4层),板楼
https://bj.ke.com/ershoufang/101117640944.html,3室1厅,765,2023-02-10,12,10.71,71.4,南 北,精装,中楼层(共4层),板楼
https://bj.ke.com/ershoufang/101117070517.html,3室2厅,1100,2022-10-31,1,10.99,100.08,西 南 北,其他,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101116708601.html,2室1厅,875,2022-10-01,7,11.05,79.16,北 南,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101116205786.html,2室1厅,884,2022-09-19,37,10.89,81.17,南 北,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101116478921.html,2室1厅,656,2022-09-16,8,10.00,65.6,东南 北,毛坯,顶层(共4层),板楼
https://bj.ke.com/ershoufang/101116160389.html,2室2厅,862,2022-08-21,11,10.89,79.16,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101115003397.html,2室1厅,570,2022-07-14,72,10.12,56.3,南 北,精装,顶层(共4层),板楼
https://bj.ke.com/ershoufang/101114789906.html,2室1厅,714,2022-04-27,,10.41,68.6,南 北,简装,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/101114600105.html,1室2厅,580,2022-04-04,17,10.71,54.16,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101113449135.html,2室1厅,572,2022-03-31,88,10.07,56.8,南 北,简装,中楼层(共4层),板楼
https://bj.ke.com/ershoufang/101113533793.html,2室1厅,571,2022-03-26,133,9.95,57.4,南 北,精装,顶层(共4层),板楼
https://bj.ke.com/ershoufang/101114054447.html,1室1厅,448,2022-03-06,44,11.20,40.0,南,简装,底层(共4层),板楼
https://bj.ke.com/ershoufang/101112298088.html,1室1厅,475,2022-02-26,218,10.42,45.6,南,精装,底层(共5层),板楼
https://bj.ke.com/ershoufang/101114207015.html,2室1厅,689,2022-02-26,14,10.04,68.6,南 北,精装,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/101114315075.html,2室1厅,717,2022-02-22,,10.22,70.15,南 北,其他,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101112572570.html,2室1厅,709,2022-02-21,196,10.34,68.6,南 北,简装,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/101114103122.html,3室1厅,1190,2022-02-13,22,10.45,113.92,南 北,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101113685757.html,2室1厅,543,2021-12-23,22,9.64,56.3,南 北,简装,顶层(共4层),板楼
https://bj.ke.com/ershoufang/101113316621.html,2室1厅,539,2021-12-05,45,9.47,56.9,南 北,简装,顶层(共4层),板楼
https://bj.ke.com/ershoufang/101113162435.html,1室1厅,450,2021-10-05,5,9.11,49.4,南,简装,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/101112603934.html,2室1厅,586,2021-10-02,45,9.35,62.7,南 北,精装,底层(共5层),板楼
https://bj.ke.com/ershoufang/101105737591.html,1室1厅,435,2021-09-20,128,9.91,43.9,南,精装,顶层(共4层),板楼
https://bj.ke.com/ershoufang/101112649259.html,2室1厅,703,2021-08-16,1,10.02,70.15,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101112288196.html,3室1厅,738,2021-07-25,11,10.22,72.2,东 南 北,简装,中楼层(共4层),板楼
https://bj.ke.com/ershoufang/101111908510.html,3室1厅,1130,2021-07-01,17,9.02,125.28,南 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101111226805.html,1室1厅,473,2021-05-09,22,9.57,49.4,南,精装,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/101110529358.html,1室1厅,428,2021-04-30,4,9.75,43.9,南,简装,顶层(共4层),板楼
https://bj.ke.com/ershoufang/101105177625.html,2室1厅,758,2021-03-18,613,9.58,79.16,北 南,简装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101110637500.html,3室1厅,806,2021-03-01,2,8.97,89.81,南 北,毛坯,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101110169346.html,2室1厅,680,2021-01-27,20,9.69,70.15,南 北,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101108803396.html,1室1厅,413,2021-01-23,17,9.06,45.6,南,精装,顶层(共5层),板楼
https://bj.ke.com/ershoufang/101110283858.html,2室1厅,609,2021-01-19,6,9.33,65.3,西 南 北,精装,中楼层(共4层),板楼
https://bj.ke.com/ershoufang/101110043679.html,2室2厅,708,2021-01-17,14,8.94,79.16,南 北,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101110072413.html,2室1厅,500,2020-12-19,6,8.80,56.8,南 北,简装,顶层(共4层),板楼
https://bj.ke.com/ershoufang/101109604350.html,2室1厅,712,2020-11-15,12,8.99,79.16,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101109396151.html,2室1厅,599,2020-10-21,16,9.12,65.7,南 北,简装,顶层(共4层),板楼
https://bj.ke.com/ershoufang/101109116020.html,2室2厅,482,2020-10-05,28,7.05,68.4,南 北,其他,顶层(共6层),
https://bj.ke.com/ershoufang/101108763607.html,1室1厅,489,2020-09-30,29,9.03,54.16,南 北,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101107153967.html,1室1厅,463,2020-09-29,180,10.15,45.6,南,简装,底层(共5层),
https://bj.ke.com/ershoufang/101107459387.html,2室1厅,490,2020-07-11,77,8.75,56.0,南 北,精装,中楼层(共4层),板楼
https://bj.ke.com/ershoufang/101108356274.html,3室1厅,795,2020-07-06,1,8.58,92.7,南 北,其他,顶层(共5层),
https://bj.ke.com/ershoufang/101107655443.html,2室1厅,646,2020-06-07,25,9.21,70.15,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101106880257.html,1室1厅,482,2020-05-30,81,8.61,56.01,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101107311376.html,2室1厅,456,2020-05-29,43,7.23,63.04,南 北,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101107459413.html,2室1厅,484,2020-05-23,28,8.52,56.8,南 北,简装,中楼层(共4层),板楼
https://bj.ke.com/ershoufang/101107209354.html,2室1厅,630,2020-05-17,41,8.98,70.15,北 南,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101107669804.html,1室1厅,337,2020-05-11,1,8.45,39.9,南,简装,底层(共4层),
https://bj.ke.com/ershoufang/101106201527.html,2室2厅,520,2020-03-27,143,7.58,68.64,南 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101105797181.html,1室1厅,417,2019-12-18,76,9.25,45.1,南,简装,中楼层(共4层),板楼
https://bj.ke.com/ershoufang/101105822474.html,2室1厅,710,2019-12-02,71,8.75,81.17,南 北,精装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101105669505.html,2室1厅,745,2019-11-19,73,9.18,81.17,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101105683352.html,3室1厅,745,2019-11-17,71,8.30,89.81,南 北,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101106110142.html,1室1厅,413,2019-11-13,18,10.05,41.1,南,精装,底层(共4层),板楼
https://bj.ke.com/ershoufang/101105192067.html,3室2厅,719,2019-10-15,32,8.24,87.26,南 西 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101105820565.html,2室1厅,503,2019-10-14,22,8.76,57.4,南 北,其他,中楼层(共4层),板楼
https://bj.ke.com/ershoufang/101104854808.html,2室1厅,495,2019-08-18,20,8.84,56.0,南 北,精装,中楼层(共4层),板楼
https://bj.ke.com/ershoufang/101103950123.html,1室1厅,482,2019-08-07,15,8.90,54.16,南 北,精装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101104640976.html,1室1厅,413,2019-08-06,,9.41,43.9,南,精装,中楼层(共4层),板楼
https://bj.ke.com/ershoufang/101104540712.html,2室1厅,576,2019-07-10,25,8.40,68.6,南 北,简装,顶层(共5层),板楼
https://bj.ke.com/ershoufang/101104635822.html,3室2厅,981,2019-05,,8.89,110.36,南 北,精装,顶层(共6层),
https://bj.ke.com/ershoufang/101103822386.html,2室1厅,624,2019-04-27,,9.10,68.6,南 北,精装,中楼层(共5层),
https://bj.ke.com/ershoufang/101104501875.html,1室1厅,415,2019-04-24,,10.12,41.0,南,精装,底层(共4层),
https://bj.ke.com/ershoufang/101104548459.html,2室1厅,500,2019-04-23,,8.88,56.3,南 北,其他,中楼层(共4层),
https://bj.ke.com/ershoufang/101104346371.html,3室2厅,883,2019-04-18,,7.48,118.07,南 北,简装,顶层(共6层),
https://bj.ke.com/ershoufang/101103596296.html,3室1厅,840,2019-04-11,,8.75,95.97,南 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101103320000.html,1室1厅,495,2019-03-02,,8.84,56.01,南 北,简装,低楼层(共6层),
https://bj.ke.com/ershoufang/101104127283.html,3室2厅,890,2019-02-26,,8.98,99.15,南 北,简装,高楼层(共6层),
https://bj.ke.com/ershoufang/101103304147.html,3室1厅,810,2019-01-23,,8.74,92.7,南 北,简装,中楼层(共5层),
https://bj.ke.com/ershoufang/101103348465.html,3室1厅,719,2019-01,,7.94,90.5,南 北,简装,中楼层(共5层),
https://bj.ke.com/ershoufang/101103806953.html,2室1厅,576,2019-01,,8.40,68.6,南 北,精装,中楼层(共5层),
https://bj.ke.com/ershoufang/101103834373.html,3室1厅,922,2018-12-28,,9.00,102.42,南 北,精装,中楼层(共6层),
https://bj.ke.com/ershoufang/101103189237.html,2室1厅,684,2018-12,,8.43,81.17,南 北,简装,中楼层(共6层),
https://bj.ke.com/ershoufang/101103295457.html,2室1厅,682,2018-11-18,,8.62,79.16,南 北,简装,中楼层(共6层),
