链接,户型,成交价格(万),成交日期,成交周期(天),单价,面积(平米),朝向,装修,楼层,楼型
https://bj.ke.com/ershoufang/101123060883.html,2室1厅,446,2024-07-26,151,7.89,56.5,东南 北,精装,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/101123774001.html,2室1厅,383,2024-06-30,87,7.01,54.6,东 西,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101121441935.html,2室1厅,568,2023-10-21,10,9.09,62.5,南,简装,底层(共5层),板楼
https://bj.ke.com/ershoufang/101119393474.html,3室1厅,616,2023-10-11,143,8.84,69.7,西 东,其他,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101116938355.html,3室1厅,683,2023-01-08,84,9.80,69.7,东 西,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101114629472.html,2室1厅,516,2022-06-12,80,9.45,54.6,东 西,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101111718169.html,2室1厅,625,2021-12-01,180,10.00,62.5,南,简装,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/101112392797.html,2室1厅,610,2021-11-27,125,9.76,62.5,南,简装,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/101111654544.html,2室1厅,570,2021-11-17,180,9.12,62.5,南,毛坯,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/101111253114.html,2室1厅,620,2021-06-08,53,10.46,59.3,东 西,简装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101111546559.html,3室1厅,690,2021-05-19,9,10.09,68.4,东 西,精装,顶层(共5层),板楼
https://bj.ke.com/ershoufang/101103301539.html,1室1厅,432,2021-03-28,706,10.14,42.6,东,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101110569753.html,2室1厅,630,2021-02-27,3,10.08,62.5,南,其他,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/101110470312.html,1室1厅,362,2021-02-05,3,10.34,35.0,南,毛坯,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/101110381462.html,2室1厅,558,2021-01-31,9,9.88,56.5,南 北,简装,顶层(共5层),板楼
https://bj.ke.com/ershoufang/101107819548.html,2室1厅,460,2020-11-15,177,9.15,50.3,东 西,精装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101109072150.html,2室1厅,530,2020-11-04,18,8.48,62.5,南,简装,底层(共5层),板楼
https://bj.ke.com/ershoufang/101109439915.html,2室1厅,505,2020-10-11,3,8.94,56.5,南 北,简装,底层(共5层),板楼
https://bj.ke.com/ershoufang/101106226441.html,2室1厅,445,2020-05-10,9,8.85,50.3,东 西,简装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101103898933.html,2室1厅,515,2019-08,,9.12,56.5,南 北,精装,顶层(共5层),
https://bj.ke.com/ershoufang/101105190909.html,3室1厅,700,2019-07-14,3,8.91,78.6,南 西 北,毛坯,底层(共5层),板楼
https://bj.ke.com/ershoufang/101104180059.html,2室1厅,517,2019-03-22,,9.15,56.5,南 北,简装,中楼层(共5层),
https://bj.ke.com/ershoufang/101103947524.html,2室1厅,519,2019-02-13,,9.19,56.5,南 北,简装,中楼层(共5层),
https://bj.ke.com/ershoufang/101103830277.html,2室1厅,470,2019-01-23,,8.61,54.6,东 西,精装,中楼层(共6层),
https://bj.ke.com/ershoufang/101102797909.html,3室1厅,615,2018-06-20,,8.99,68.4,东 西,精装,顶层(共5层),
https://bj.ke.com/ershoufang/101102350252.html,3室1厅,755,2018-03-21,,8.99,84.0,南 北,精装,中楼层(共5层),
https://bj.ke.com/ershoufang/101102162666.html,2室1厅,530,2018-03-18,,9.38,56.5,南 北,简装,中楼层(共5层),
https://bj.ke.com/ershoufang/101102226923.html,2室1厅,455,2017-12-03,,7.21,63.1,东 西,简装,顶层(共6层),
https://bj.ke.com/ershoufang/101102224611.html,2室1厅,505,2017-11-04,,8.94,56.5,南 北,简装,底层(共5层),
https://bj.ke.com/ershoufang/101100703313.html,3室1厅,562,2016-12-10,,8.06,69.7,东 西,精装,中楼层(共6层),
https://bj.ke.com/ershoufang/101100493114.html,1室1厅,328,2016-09-23,,7.70,42.6,东,精装,顶层(共6层),
https://bj.ke.com/ershoufang/101100311339.html,2室1厅,468,2016-08-26,,7.49,62.5,南,精装,中楼层(共5层),
https://bj.ke.com/ershoufang/101100223666.html,1室1厅,320,2016-07-30,,7.51,42.6,东,精装,高楼层(共6层),
https://bj.ke.com/ershoufang/101100189296.html,3室0厅,418,2016-06-30,,6.62,63.1,东 西,简装,顶层(共6层),
https://bj.ke.com/ershoufang/BJHD90741551.html,2室0厅,375,2016-04-22,,6.64,56.5,南 北,简装,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/BJHD91258588.html,2室1厅,355,2016-02-22,,6.28,56.5,南 北,简装,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/BJHD90960993.html,2室1厅,350,2016-01-06,,6.19,56.5,东 南 北,精装,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/BJHD90928741.html,2室1厅,350,2015-12-09,,5.55,63.1,东 西,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/BJHD90459526.html,2室0厅,346,2015-09-28,,6.12,56.5,南 北,其他,底层(共5层),板楼
https://bj.ke.com/ershoufang/BJHD88986194.html,3室1厅,346,2015-04-26,,5.06,68.4,东 西,简装,顶层(共5层),板楼
https://bj.ke.com/ershoufang/BJHD85627378.html,2室1厅,355,2013-10-10,,5.63,63.1,东 西,其他,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/BJHD85526001.html,2室0厅,320,2013-07-16,,5.12,62.5,南,其他,底层(共5层),板楼
https://bj.ke.com/ershoufang/BJHD85558803.html,2室1厅,329,2013-03-07,,5.82,56.5,南 北,其他,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/BJHD84569639.html,1室1厅,167,2012-07-17,,3.92,42.6,东,其他,顶层(共6层),板楼
https://bj.ke.com/ershoufang/BJHD84593823.html,2室1厅,120,2012-06-22,,1.92,62.5,南,其他,底层(共5层),板楼
https://bj.ke.com/ershoufang/BJHD84599839.html,2室1厅,169,2012-06-07,,2.99,56.5,南 北,其他,底层(共5层),板楼
