链接,户型,成交价格(万),成交日期,成交周期(天),单价,面积(平米),朝向,装修,楼层,楼型
https://bj.ke.com/ershoufang/101123967459.html,2室2厅,635,2024-07-28,31,8.12,78.21,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101123134320.html,3室2厅,828,2024-07-10,133,7.55,109.73,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101123381818.html,2室2厅,550,2024-06-29,99,6.42,85.61,南 西 北,其他,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101123808454.html,2室2厅,612,2024-06-29,73,7.15,85.61,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101124303494.html,3室1厅,762,2024-06-28,50,8.12,93.81,南 北,精装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101122678525.html,1室1厅,390,2024-06-25,105,7.03,55.48,南 北,精装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101123884537.html,3室1厅,780,2024-06-23,70,8.31,93.81,南 北,精装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101124851963.html,2室2厅,565,2024-06-21,12,6.62,85.38,东 南 北,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101123266621.html,2室2厅,705,2024-06-21,103,7.64,92.28,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101122423175.html,2室2厅,814,2024-04-14,108,7.82,104.14,南 西,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101120886901.html,3室2厅,872,2024-04-07,217,8.49,102.75,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101122381935.html,4室1厅,975,2024-03-25,94,8.15,119.56,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101122890386.html,2室2厅,629,2024-03-09,22,7.46,84.28,南 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101123177473.html,4室2厅,1000,2024-03-03,1,8.36,119.56,南 北,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101122262992.html,2室1厅,707,2024-03-02,75,8.39,84.28,南 北,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101119241176.html,2室2厅,808,2024-01-06,237,7.40,109.19,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101121707227.html,2室2厅,673,2023-12-10,42,8.61,78.12,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101121159929.html,2室1厅,653,2023-12-07,11,7.65,85.38,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101121416895.html,2室2厅,798,2023-11-12,35,7.66,104.14,南 西,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101118371068.html,3室1厅,753,2023-11-05,239,6.76,111.45,东 南 西,精装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101119311489.html,3室2厅,1026,2023-09-24,,8.58,119.56,南 北,简装,中楼层(共6层),板楼
