链接,户型,成交价格(万),成交日期,成交周期(天),单价,面积(平米),朝向,装修,楼层,楼型
https://bj.ke.com/ershoufang/101125026807.html,3室1厅,598,2024-08-31,74,7.42,80.6,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101126037385.html,1室1厅,298,2024-08-23,10,7.85,37.96,南,精装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101122950557.html,2室1厅,340,2024-08-21,181,6.49,52.36,南 北,简装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101125327676.html,2室1厅,360,2024-08-11,37,6.34,56.81,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101124700853.html,2室1厅,453,2024-08-11,72,6.98,64.89,南 西 北,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101125665494.html,2室2厅,319,2024-08-10,18,6.03,52.86,东 西,精装,中楼层(共14层),板塔结合
https://bj.ke.com/ershoufang/101124611083.html,2室1厅,490,2024-08-03,70,7.02,69.78,南,精装,中楼层(共16层),塔楼
https://bj.ke.com/ershoufang/101123522212.html,3室1厅,656,2024-08-03,135,8.59,76.37,东 南 北,精装,低楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101125424323.html,2室1厅,545,2024-07-27,17,8.18,66.6,东 南 北,精装,底层(共16层),塔楼
https://bj.ke.com/ershoufang/101124743600.html,2室1厅,380,2024-07-09,35,6.67,57.01,南 北,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101124937363.html,3室1厅,570,2024-07-08,21,7.50,76.02,南 北,精装,高楼层(共16层),板楼
https://bj.ke.com/ershoufang/101124031609.html,1室1厅,312,2024-07-06,68,6.54,47.67,南 北,精装,中楼层(共16层),板楼
https://bj.ke.com/ershoufang/101124126582.html,2室1厅,439,2024-07-06,72,6.91,63.53,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101124635128.html,2室1厅,359,2024-07-05,39,5.86,61.27,东 西,精装,中楼层(共14层),板塔结合
https://bj.ke.com/ershoufang/101124512473.html,2室1厅,480,2024-06-30,42,6.84,70.22,南,简装,低楼层(共16层),塔楼
https://bj.ke.com/ershoufang/101123475437.html,2室1厅,305,2024-06-29,104,4.99,61.11,东 西,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101125119123.html,2室1厅,350,2024-06-27,3,5.83,60.04,南 北,精装,顶层(共16层),板楼
https://bj.ke.com/ershoufang/101124047160.html,2室1厅,367,2024-06-25,65,6.05,60.71,西南 北,精装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101123550022.html,2室1厅,413,2024-06-23,93,6.72,61.48,南 北,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101123967257.html,2室1厅,358,2024-06-22,24,5.89,60.83,南 北,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101124219348.html,2室1厅,410,2024-06-22,49,7.17,57.2,南 北,精装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101124997359.html,2室1厅,330,2024-06-21,3,5.14,64.23,南 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101124890974.html,2室1厅,421,2024-06-16,5,6.59,63.93,南 北,精装,高楼层(共16层),板楼
https://bj.ke.com/ershoufang/101124269066.html,1室1厅,260,2024-06-13,38,6.20,41.94,南 北,精装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101124304867.html,1室1厅,276,2024-06-13,37,6.57,41.99,南,精装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101124259417.html,1室1厅,271,2024-06-11,38,6.45,41.99,南,精装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101123826275.html,2室1厅,381,2024-06-09,61,6.64,57.41,南,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101124768600.html,2室1厅,428,2024-06-09,5,8.01,53.41,南 北,简装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101123192695.html,3室1厅,533,2024-06-08,97,6.67,79.96,南 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101123311244.html,3室1厅,499,2024-06-03,78,7.11,70.15,南 北,简装,中楼层(共16层),塔楼
https://bj.ke.com/ershoufang/101122345903.html,2室1厅,417,2024-06-02,167,6.78,61.53,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101123944683.html,2室1厅,330,2024-05-28,44,5.76,57.33,东 西,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101122846201.html,3室1厅,586,2024-05-28,119,7.26,80.67,南 北,简装,中楼层(共16层),板楼
https://bj.ke.com/ershoufang/101122779552.html,3室1厅,650,2024-05-25,122,8.42,77.22,南 西 北,简装,低楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101124418462.html,3室1厅1卫,640,2024-05-19,2,8.00,79.96,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101123769635.html,1室1厅1卫,272,2024-05-18,40,6.47,42.02,南 北,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101123524731.html,3室1厅1卫,628,2024-05-12,53,7.85,79.96,南 北,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101122866350.html,2室1厅1卫,438,2024-05-09,98,7.12,61.48,南 北,精装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101122322865.html,1室0厅1卫,270,2024-05-04,136,6.64,40.69,南,精装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101124043497.html,1室1厅1卫,250,2024-05-01,10,6.58,37.99,北,简装,低楼层(共16层),塔楼
https://bj.ke.com/ershoufang/101122520035.html,2室1厅1卫,247,2024-04-30,115,6.54,37.79,北,精装,低楼层(共16层),塔楼
https://bj.ke.com/ershoufang/101123072370.html,1室1厅1卫,267,2024-04-27,61,6.96,38.38,北,精装,低楼层(共16层),塔楼
https://bj.ke.com/ershoufang/101122093458.html,1室1厅1卫,255,2024-04-23,105,6.05,42.15,南,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101123794078.html,1室1厅1卫,245,2024-04-20,15,5.82,42.07,东 西,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101123880672.html,1室1厅1卫,283,2024-04-20,10,6.72,42.13,南,毛坯,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101120936681.html,3室1厅1卫,500,2024-04-20,226,7.14,69.98,南 北,精装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101122135977.html,1室1厅1卫,278,2024-04-16,138,7.34,37.9,南 北,简装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101123363082.html,1室1厅1卫,282,2024-04-14,32,6.75,41.76,南,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101122968211.html,2室1厅1卫,483,2024-04-14,54,7.01,68.94,南,简装,中楼层(共16层),塔楼
https://bj.ke.com/ershoufang/101122701721.html,1室1厅1卫,266,2024-04-06,77,7.02,37.87,北,精装,高楼层(共16层),塔楼
https://bj.ke.com/ershoufang/101123001661.html,1室1厅1卫,292,2024-04-06,44,6.96,41.95,南,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101121895361.html,2室1厅1卫,298,2024-04-06,141,7.73,38.56,南,简装,高楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101122414124.html,2室1厅1卫,395,2024-04-05,103,6.50,60.8,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101123076796.html,2室1厅1卫,475,2024-04-05,35,7.75,61.32,南 北,精装,中楼层(共16层),板楼
https://bj.ke.com/ershoufang/101122393313.html,1室1厅1卫,318,2024-04-04,99,7.55,42.13,南 北,精装,高楼层(共6层),板楼
