链接,户型,成交价格(万),成交日期,成交周期(天),单价,面积(平米),朝向,装修,楼层,楼型
https://bj.ke.com/ershoufang/101126027711.html,3室1厅,434,2024-08-15,,6.71,64.72,南 北,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101125617114.html,3室1厅,460,2024-08-12,22,6.53,70.44,西 北,简装,中楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101125820722.html,2室1厅,324,2024-08-11,10,5.48,59.15,西北,简装,低楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101123485035.html,3室1厅,470,2024-08-10,144,6.25,75.18,东北,毛坯,低楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101124595055.html,2室1厅,407,2024-08-06,74,6.09,66.85,东南,简装,顶层(共17层),塔楼
https://bj.ke.com/ershoufang/101123708382.html,2室1厅,425,2024-08-03,122,6.74,63.09,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101123375377.html,1室1厅,268,2024-08-02,142,6.24,42.98,南,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101124357852.html,1室2厅,220,2024-08-01,82,5.18,42.49,南,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101125605767.html,3室1厅,663,2024-07-29,7,7.88,84.1,东 南 北,精装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101123634784.html,2室1厅,368,2024-07-28,124,7.37,49.93,南 北,简装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101125494686.html,1室1厅,278,2024-07-24,2,6.26,44.43,南,精装,高楼层(共18层),塔楼
https://bj.ke.com/ershoufang/101124545395.html,3室1厅,383,2024-07-24,64,5.51,69.53,南 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101122793541.html,2室1厅,401,2024-07-15,172,5.78,69.34,南,简装,低楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101125157424.html,2室1厅,433,2024-07-14,18,6.13,70.66,南,简装,高楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101125137789.html,1室1厅,265,2024-07-08,13,6.17,42.98,南,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101124791688.html,3室1厅,453,2024-07-08,31,6.34,71.42,北 南 东,简装,中楼层(共18层),塔楼
https://bj.ke.com/ershoufang/101125020356.html,1室1厅,340,2024-07-02,12,5.91,57.52,南,精装,低楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101124955915.html,3室1厅,462,2024-06-25,2,6.11,75.56,东北,精装,中楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101123631903.html,3室1厅,458,2024-06-24,25,6.03,75.92,南 北 东,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101124809488.html,2室1厅,342,2024-06-21,15,5.87,58.27,西北,简装,低楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101124756254.html,1室1厅,268,2024-06-17,13,6.38,42.03,南,精装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101124654523.html,3室1厅,421,2024-06-15,18,5.55,75.92,南 北 东,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101124529636.html,3室1厅,349,2024-06-14,25,4.86,71.84,东 西,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101123422574.html,3室1厅,520,2024-06-14,92,6.34,81.97,西南,毛坯,低楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101124427686.html,1室1厅,271,2024-06-12,28,5.98,45.34,南,精装,中楼层(共18层),塔楼
https://bj.ke.com/ershoufang/101123839223.html,2室1厅,308,2024-06-09,62,5.69,54.17,东 西,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101123989808.html,3室1厅,398,2024-06-09,53,4.99,79.82,东南,简装,中楼层(共14层),板塔结合
https://bj.ke.com/ershoufang/101124592835.html,3室1厅,426,2024-06-09,15,5.34,79.82,东 西 南,精装,低楼层(共14层),板塔结合
https://bj.ke.com/ershoufang/101124539582.html,1室1厅,225,2024-06-06,16,5.85,38.49,南,简装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101122320852.html,2室1厅,450,2024-05-28,163,6.47,69.5,东南,简装,高楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101123810129.html,2室1厅,440,2024-05-26,49,6.23,70.66,南,毛坯,中楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101122470649.html,1室1厅,219,2024-05-24,148,4.81,45.56,东 西,毛坯,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101123443236.html,2室1厅,291,2024-05-24,64,5.80,50.19,南 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101124167521.html,3室1厅,467,2024-05-24,26,6.65,70.22,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101123470085.html,2室1厅1卫,322,2024-05-23,63,6.03,53.36,南 北,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101122337944.html,2室1厅1卫,362,2024-05-23,157,6.68,54.21,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101122200796.html,3室1厅1卫,560,2024-05-20,147,6.83,81.97,南 西,简装,中楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101122519990.html,2室1厅1卫,320,2024-05-19,136,5.97,53.6,东 西,精装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101123811189.html,2室1厅1卫,405,2024-05-12,35,6.96,58.19,南 北 西,简装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101123464786.html,3室1厅1卫,407,2024-05-12,56,5.82,69.88,南 北,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101122928541.html,2室1厅1卫,482,2024-05-10,80,6.82,70.66,南,简装,中楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101122685293.html,3室1厅1卫,475,2024-05-09,102,6.60,71.92,南 北,精装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101123109846.html,3室1厅1卫,455,2024-04-28,61,6.33,71.84,东 西,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101124110587.html,3室1厅2卫,755,2024-04-28,4,7.58,99.56,南 西,精装,顶层(共18层),塔楼
https://bj.ke.com/ershoufang/101122530962.html,3室1厅1卫,485,2024-04-21,108,6.39,75.94,东北,精装,低楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101123789101.html,2室1厅2卫,553,2024-04-21,15,6.78,81.53,南 东,精装,高楼层(共18层),塔楼
https://bj.ke.com/ershoufang/101123459984.html,2室1厅1卫,326,2024-04-16,30,6.11,53.36,南 北,毛坯,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101123711341.html,3室1厅1卫,505,2024-04-04,3,7.70,65.6,南 北,精装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101121178201.html,3室1厅1卫,555,2024-03-31,193,6.77,81.97,西南,精装,顶层(共17层),塔楼
https://bj.ke.com/ershoufang/101123450017.html,2室1厅1卫,395,2024-03-26,4,5.88,67.12,东 南 北,简装,低楼层(共18层),塔楼
https://bj.ke.com/ershoufang/101123508499.html,3室1厅1卫,498,2024-03-24,,6.24,79.82,西,简装,低楼层(共14层),板塔结合
https://bj.ke.com/ershoufang/101122684836.html,2室1厅1卫,383,2024-03-21,55,6.00,63.84,北 东,精装,低楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101121655051.html,1室1厅1卫,365,2024-03-20,144,6.23,58.56,南,精装,顶层(共17层),塔楼
https://bj.ke.com/ershoufang/101121003435.html,2室1厅1卫,376,2024-03-17,190,5.93,63.41,东北 北,简装,高楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101123024533.html,2室1厅1卫,355,2024-03-16,21,6.55,54.21,南 北,精装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101122860998.html,2室1厅2卫,420,2024-03-09,16,6.19,67.89,东南,简装,高楼层(共18层),塔楼
https://bj.ke.com/ershoufang/101122792888.html,2室1厅1卫,459,2024-03-09,44,6.60,69.5,东南,简装,低楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101121143017.html,2室1厅1卫,368,2024-03-08,172,5.84,63.05,东北,精装,中楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101121868853.html,3室1厅1卫,640,2024-03-07,119,7.81,81.97,西南,毛坯,中楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101122867514.html,3室1厅1卫,505,2024-03-03,30,7.12,70.88,西北,简装,高楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101122860977.html,2室1厅1卫,346,2024-02-28,6,6.22,55.65,西,简装,高楼层(共18层),塔楼
https://bj.ke.com/ershoufang/101121132884.html,3室1厅1卫,558,2024-02-27,163,8.44,66.1,南 北,精装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101122684363.html,2室1厅1卫,354,2024-02-24,39,5.61,63.05,东 北,简装,高楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101122684362.html,2室1厅1卫,467,2024-02-20,35,6.73,69.34,南,精装,高楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101122027714.html,3室1厅1卫,523,2024-02-05,75,7.59,68.88,南 北,精装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101121697900.html,1室1厅1卫,333,2024-01-24,89,8.50,39.18,南,精装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101122665813.html,3室1厅1卫,535,2024-01-21,7,7.66,69.88,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101122372982.html,2室1厅1卫,505,2024-01-20,31,7.55,66.85,东南,精装,中楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101122584045.html,2室1厅1卫,355,2024-01-14,4,6.55,54.21,南 北,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101121413998.html,2室1厅1卫,379,2024-01-12,88,7.02,53.99,南 北,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101121844932.html,3室1厅1卫,526,2024-01-12,65,7.53,69.88,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101122298005.html,2室1厅1卫,375,2024-01-08,20,5.87,63.84,东 北,精装,顶层(共17层),塔楼
https://bj.ke.com/ershoufang/101120771805.html,2室1厅1卫,370,2024-01-07,135,6.95,53.24,南 北,简装,底层(共6层),板楼
