链接,户型,成交价格(万),成交日期,成交周期(天),单价,面积(平米),朝向,装修,楼层,楼型
https://bj.ke.com/ershoufang/101124926856.html,4室2厅,1100,2024-08-10,55,8.80,125.01,南 北,精装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101125556963.html,2室1厅,436,2024-07-22,5,9.08,48.01,南 北,其他,底层(共6层),板楼
https://bj.ke.com/ershoufang/101125222446.html,2室1厅,498,2024-07-22,19,8.69,57.28,南 北,精装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101124763363.html,2室1厅,382,2024-07-09,34,8.29,46.1,南 北,精装,顶层(共4层),板楼
https://bj.ke.com/ershoufang/101122868389.html,1室2厅,347,2024-06-29,148,7.59,45.7,南 北 东,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101123740844.html,2室1厅,542,2024-06-20,78,9.87,54.92,南 北,精装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101124771236.html,3室1厅,799,2024-06-19,14,7.59,105.3,南 北,简装,中楼层(共14层),板塔结合
https://bj.ke.com/ershoufang/101123535346.html,1室1厅,264,2024-05-12,52,5.43,48.66,南,简装,低楼层(共15层),板楼
https://bj.ke.com/ershoufang/101123601597.html,2室1厅,468,2024-04-13,16,8.22,56.95,南 北,精装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101122177997.html,3室1厅,630,2024-03-29,68,9.12,69.1,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101122125536.html,2室1厅,519,2024-03-26,118,9.56,54.3,南 北,简装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101123167886.html,2室1厅,371,2024-03-21,18,8.50,43.64,南 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101123443227.html,2室1厅,400,2024-03-19,3,8.57,46.7,南 北,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101121135111.html,1室1厅,375,2024-03-04,166,8.09,46.37,西 北,简装,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/101122776912.html,2室1厅,506,2024-02-29,36,8.78,57.6,南 北,其他,中楼层(共4层),板楼
https://bj.ke.com/ershoufang/101121063584.html,2室1厅,513,2024-02-06,146,8.91,57.6,南 北,简装,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/101121618845.html,1室1厅,370,2024-01-14,84,10.25,36.1,东南 南,精装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101122405305.html,3室1厅,667,2024-01-10,17,9.14,73.0,南 北,精装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101120769799.html,4室2厅,540,2023-12-20,113,8.71,62.0,南 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101121208034.html,1室1厅,383,2023-12-10,52,9.16,41.8,南,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101121611951.html,3室1厅,868,2023-12-03,42,9.66,89.88,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101121755078.html,2室1厅,519,2023-11-19,16,8.88,58.44,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101121375541.html,2室1厅,558,2023-11-14,38,9.15,61.0,南 北,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101121564912.html,2室1厅,565,2023-11-13,24,8.17,69.12,南 北,简装,中楼层(共14层),板塔结合
https://bj.ke.com/ershoufang/101120479482.html,2室1厅,410,2023-11-12,95,8.54,48.0,南 北,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101121647890.html,3室1厅,657,2023-11-11,17,8.36,78.6,南 北,精装,高楼层(共15层),板楼
https://bj.ke.com/ershoufang/101119941587.html,3室1厅,672,2023-10-26,11,9.01,74.62,东 南,简装,顶层(共4层),板楼
https://bj.ke.com/ershoufang/101121423093.html,3室1厅,665,2023-10-25,15,8.42,79.02,东 西 北,简装,中楼层(共4层),板楼
https://bj.ke.com/ershoufang/101119709727.html,2室1厅,523,2023-10-17,127,9.08,57.6,南 北,精装,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/101119355652.html,2室1厅,485,2023-10-14,140,8.35,58.05,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101119971901.html,2室1厅,643,2023-10-11,102,10.54,61.0,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101120612122.html,3室1厅,635,2023-09-26,41,9.47,67.03,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101119852395.html,2室1厅,510,2023-09-13,71,9.21,55.4,南,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101119947353.html,3室1厅,962,2023-09-13,74,8.16,117.95,南 北,精装,低楼层(共14层),板塔结合
https://bj.ke.com/ershoufang/101119890067.html,3室1厅,890,2023-09-10,74,9.90,89.88,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101120162090.html,2室1厅,550,2023-09-02,44,9.13,60.24,南 北,精装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101120409336.html,2室1厅,588,2023-08-27,24,9.83,59.8,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101119844063.html,2室1厅,486,2023-08-05,44,10.47,46.4,南 北,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101117879521.html,1室1厅,443,2023-05-28,108,9.13,48.54,南,简装,低楼层(共15层),板楼
https://bj.ke.com/ershoufang/101118458784.html,3室1厅,760,2023-05-14,57,9.82,77.4,东 南,简装,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/101118343252.html,2室1厅,521,2023-03-27,17,11.66,44.67,南 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101118423636.html,2室1厅,542,2023-03-26,11,11.68,46.4,南 北,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101117897880.html,3室1厅,790,2023-03-03,12,9.08,87.05,南 北,简装,中楼层(共15层),板楼
https://bj.ke.com/ershoufang/101117056127.html,2室1厅,610,2023-02-26,121,10.65,57.28,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101118080663.html,2室1厅,658,2023-02-22,1,10.88,60.5,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101117880790.html,2室1厅,610,2023-02-20,10,11.24,54.29,南 西 北,精装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101117708889.html,2室0厅,607,2023-02-19,21,10.56,57.48,南 北,其他,中楼层(共4层),板楼
https://bj.ke.com/ershoufang/101117986077.html,2室1厅,426,2023-02-18,3,10.76,39.58,南 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101117967695.html,2室1厅,570,2023-02-15,1,10.20,55.87,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101117012608.html,3室1厅,1040,2023-02-11,111,8.82,117.95,南 北,精装,中楼层(共14层),板塔结合
https://bj.ke.com/ershoufang/101117711152.html,2室1厅,635,2023-02-04,7,10.57,60.08,南 北,其他,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101117311462.html,3室1厅,802,2023-01-08,46,10.71,74.9,东 南,精装,中楼层(共4层),板楼
https://bj.ke.com/ershoufang/101116757979.html,3室1厅,778,2023-01-04,97,10.05,77.4,南 北,简装,低楼层(共7层),板楼
https://bj.ke.com/ershoufang/101117377979.html,2室1厅,630,2022-12-27,21,10.36,60.8,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101116973096.html,2室1厅,555,2022-12-10,52,10.02,55.4,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101116635169.html,3室1厅,961,2022-12-03,,10.69,89.88,南 北,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101115725735.html,2室1厅,597,2022-10-19,108,10.48,56.98,南 北 西,简装,中楼层(共4层),板楼
https://bj.ke.com/ershoufang/101116629903.html,2室1厅,628,2022-10-16,29,10.59,59.3,南 北,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101116027321.html,3室1厅,743,2022-10-05,68,9.37,79.3,南 北,简装,高楼层(共7层),板楼
https://bj.ke.com/ershoufang/101115886821.html,2室1厅,512,2022-09-29,74,11.35,45.13,南 北,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101116390528.html,1室1厅,444,2022-09-27,30,9.72,45.7,南 北,精装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101116577005.html,2室1厅,668,2022-09-26,8,11.29,59.17,南,精装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101116545398.html,1室1厅,458,2022-09-17,4,9.83,46.59,南 西,精装,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/101116593446.html,2室1厅,635,2022-09-17,1,9.43,67.37,西南,简装,低楼层(共15层),板楼
https://bj.ke.com/ershoufang/101115510275.html,2室1厅,583,2022-08-28,73,10.28,56.7,南 北,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101115962097.html,2室1厅,622,2022-08-25,32,11.76,52.9,南 北,简装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101116280478.html,1室1厅,434,2022-08-20,1,9.35,46.4,南,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101116017420.html,3室1厅,802,2022-08-20,18,10.20,78.6,南 西 北,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101115688431.html,1室0厅,439,2022-08-19,48,9.02,48.66,南,精装,低楼层(共15层),板楼
https://bj.ke.com/ershoufang/101115865644.html,2室1厅,495,2022-08-02,18,11.24,44.03,南 北,精装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101115667684.html,3室1厅,780,2022-08-01,33,8.53,91.43,南 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101115933970.html,2室1厅,597,2022-07-28,6,10.48,56.95,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101115780299.html,3室1厅,755,2022-07-11,,10.08,74.9,东南,精装,顶层(共4层),板楼
https://bj.ke.com/ershoufang/101115700979.html,2室1厅,568,2022-07-04,1,10.12,56.1,东 南,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101115556212.html,2室1厅,675,2022-07-04,15,8.79,76.78,南 北,精装,高楼层(共14层),板塔结合
https://bj.ke.com/ershoufang/101114801102.html,1室1厅,430,2022-07-02,85,8.88,48.4,南 北,精装,低楼层(共15层),板楼
https://bj.ke.com/ershoufang/101115543568.html,2室1厅,631,2022-06-27,8,12.26,51.45,南 北,简装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101115454840.html,1室1厅,419,2022-06-15,5,9.09,46.1,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101114531495.html,1室1厅,405,2022-06-12,33,8.73,46.4,西 北,精装,中楼层(共5层),板楼
