链接,户型,成交价格(万),成交日期,成交周期(天),单价,面积(平米),朝向,装修,楼层,楼型
https://bj.ke.com/ershoufang/101123271660.html,3室1厅,685,2024-08-15,160,7.85,87.29,东南,简装,中楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101124479971.html,2室1厅,606,2024-07-20,45,8.56,70.78,南 西,简装,中楼层(共14层),板楼
https://bj.ke.com/ershoufang/101123487782.html,2室1厅,435,2024-06-30,103,6.94,62.66,东北,简装,中楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101123257122.html,3室1厅1卫,628,2024-05-05,61,8.11,77.45,南 北,精装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101120597112.html,3室1厅1卫,613,2024-01-28,166,7.57,80.95,南 北,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101122465929.html,3室1厅1卫,505,2024-01-23,,7.89,63.97,南 北,简装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101121982652.html,3室1厅1卫,606,2023-11-21,4,7.22,83.98,东,简装,高楼层(共14层),板楼
https://bj.ke.com/ershoufang/101120101807.html,3室1厅1卫,650,2023-11-17,129,7.45,87.29,东南,简装,高楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101119295176.html,3室1厅1卫,770,2023-05-28,11,8.82,87.29,东南,精装,低楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101117270589.html,2室1厅1卫,501,2023-02-12,86,8.00,62.66,东北,精装,中楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101117073127.html,2室2厅1卫,450,2023-02-09,104,10.90,41.27,南,精装,底层(共17层),塔楼
https://bj.ke.com/ershoufang/101116789871.html,3室1厅1卫,730,2022-11-27,47,9.02,80.95,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101116586616.html,1室1厅1卫,483,2022-11-09,55,9.11,53.0,南,简装,底层(共14层),板楼
https://bj.ke.com/ershoufang/101116657772.html,1室1厅1卫,423,2022-10-23,32,9.24,45.77,南,精装,中楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101116723813.html,3室1厅1卫,808,2022-09-29,4,9.26,87.29,西南,简装,中楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101115498006.html,1室1厅1卫,418,2022-09-12,85,9.13,45.77,南,精装,中楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101115464093.html,1室1厅1卫,416,2022-08-05,13,9.09,45.77,南,精装,低楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101114070282.html,1室1厅1卫,410,2022-03-26,70,8.86,46.27,南,精装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101113908740.html,1室1厅1卫,410,2022-01-02,,8.86,46.27,南,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101113199071.html,2室1厅1卫,486,2021-10-28,4,7.76,62.66,东北,精装,高楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101113232676.html,1室1厅1卫,385,2021-10-23,17,8.41,45.77,南,简装,中楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101112690710.html,1室1厅1卫,410,2021-08-23,4,8.33,49.24,南,精装,底层(共14层),板楼
https://bj.ke.com/ershoufang/101112321416.html,1室1厅1卫,384,2021-08-01,14,8.39,45.77,南,简装,高楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101111972854.html,2室1厅1卫,598,2021-06-22,4,7.97,75.02,西南 北,精装,中楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101111641824.html,3室1厅1卫,720,2021-06-05,17,8.25,87.29,西南,简装,顶层(共17层),塔楼
https://bj.ke.com/ershoufang/101111533328.html,1室1厅1卫,464,2021-05-16,7,7.45,62.27,东南,精装,低楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101109972337.html,2室1厅1卫,488,2021-05-11,160,7.79,62.66,东北,精装,高楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101107785923.html,3室1厅1卫,598,2021-04-25,336,7.39,80.95,南 北,精装,顶层(共6层),板楼
