链接,户型,成交价格(万),成交日期,成交周期(天),单价,面积(平米),朝向,装修,楼层,楼型
https://bj.ke.com/ershoufang/101124090446.html,2室1厅,308,2024-08-09,105,4.86,63.43,南 北,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101123455273.html,2室1厅,385,2024-05-30,75,6.88,55.99,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101121403769.html,2室1厅,445,2024-03-08,152,7.58,58.7,南 西 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101117778876.html,2室1厅,365,2024-01-28,230,5.72,63.8,南 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101119998079.html,2室1厅,427,2024-01-27,204,6.68,63.9,东 南 北,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101122696610.html,2室1厅,460,2024-01-27,7,7.78,59.11,南 北,其他,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101121935815.html,3室1厅,715,2023-12-15,11,8.39,85.2,南 西 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101122207217.html,2室1厅,416,2023-12-10,5,7.43,55.99,东 南 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101118108878.html,3室1厅,618,2023-12-09,289,8.13,75.99,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101120669556.html,2室1厅,460,2023-10-16,58,7.68,59.88,南 北,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101121019417.html,3室1厅,496,2023-10-06,,6.98,71.1,南 北,简装,顶层(共6层),
https://bj.ke.com/ershoufang/101121047456.html,2室1厅,480,2023-09-24,12,8.02,59.88,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101119644229.html,2室1厅,442,2023-09-18,101,7.38,59.88,南 北,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101119748018.html,3室1厅,515,2023-09-17,82,7.06,72.9,南 北,其他,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101120854542.html,2室1厅,517,2023-09-13,6,8.63,59.88,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101118784884.html,3室1厅,503,2023-09-06,148,7.07,71.1,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101119627667.html,2室1厅,443,2023-07-29,53,7.55,58.7,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101118860707.html,2室1厅,489,2023-06-23,65,8.73,55.99,南 北,精装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101118908637.html,2室1厅,520,2023-06-11,53,8.98,57.9,南,其他,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101117737083.html,3室1厅,745,2023-05-06,71,8.74,85.2,南 北,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101117849710.html,2室1厅,474,2023-04-28,80,7.92,59.88,南 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101118293519.html,2室1厅,530,2023-03-26,18,9.47,55.99,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101118090567.html,2室1厅,520,2023-03-11,3,9.57,54.34,南 北,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101117879157.html,3室1厅,658,2023-03-11,25,9.03,72.9,南 北,精装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101116618078.html,3室1厅,615,2023-03-04,167,8.37,73.5,南 北,毛坯,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101117094683.html,3室1厅,646,2023-03-03,122,8.86,72.9,南 北,精装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101114925063.html,2室1厅,508,2023-02-26,309,8.77,57.9,南,精装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101111283868.html,2室1厅,570,2023-02-26,667,9.52,59.88,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101114325783.html,2室1厅,524,2023-02-19,319,8.75,59.88,南 北,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101116397707.html,2室1厅,585,2023-02-18,154,9.22,63.43,南 北,精装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101117779704.html,2室1厅,535,2023-02-12,9,8.93,59.88,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101116008166.html,2室1厅,496,2023-01-09,165,7.77,63.8,南 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101117079500.html,2室1厅,518,2022-12-24,56,8.90,58.2,南 北,精装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101114825110.html,2室1厅,522,2022-11-01,202,9.32,55.99,南 北,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101114710926.html,3室1厅,600,2022-07-10,100,8.44,71.1,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101114913842.html,2室1厅,575,2022-07-09,71,9.00,63.9,东 南 北,精装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101115545953.html,2室1厅,515,2022-07-02,14,8.86,58.1,南 北,其他,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101115040955.html,2室1厅,522,2022-06-26,10,8.18,63.8,南 北,精装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101115414827.html,3室1厅,700,2022-06-26,18,8.22,85.2,南 北,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101115313132.html,2室1厅,556,2022-06-12,16,9.29,59.88,南 北,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101114621350.html,2室1厅,501,2022-06-08,78,8.62,58.1,南 北,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101114760195.html,2室1厅,522,2022-05-17,39,9.01,57.91,南,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101114148192.html,3室1厅,546,2022-04-24,75,7.68,71.1,南 北,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101114517667.html,2室1厅,500,2022-03-22,10,8.35,59.88,南 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101114186684.html,2室1厅,600,2022-03-15,33,8.16,73.5,南 北,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101113647994.html,3室1厅,594,2022-03-03,60,8.08,73.5,南 北,精装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101114054797.html,2室1厅,553,2022-02-28,36,8.67,63.8,南 北,其他,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101113663482.html,2室1厅,535,2022-02-26,10,8.93,59.88,南 北,精装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101112957945.html,2室1厅,578,2022-02-20,164,9.11,63.43,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101112266149.html,2室1厅,515,2022-01-10,175,9.20,55.99,南 北,精装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101113290318.html,3室1厅,563,2022-01-08,47,7.66,73.5,南 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101113458856.html,1室1厅,399,2021-12-21,50,8.47,47.1,南,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101113876157.html,2室1厅,460,2021-12-18,3,8.61,53.42,南 北,简装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101112708661.html,3室1厅,740,2021-12-18,119,8.69,85.2,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101113535063.html,2室1厅,468,2021-12-04,25,7.34,63.8,南 北,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101112422160.html,2室1厅,476,2021-11-19,83,8.18,58.2,南 北,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101112651638.html,3室1厅,705,2021-11-19,90,8.27,85.2,南 西 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101113046606.html,2室1厅,490,2021-10-30,4,8.29,59.11,南 北,其他,底层(共6层),板楼
https://bj.ke.com/ershoufang/101113291841.html,2室1厅,507,2021-10-25,12,8.47,59.88,南 北,简装,中楼层(共6层),板楼
