链接,户型,成交价格(万),成交日期,成交周期(天),单价,面积(平米),朝向,装修,楼层,楼型
https://bj.ke.com/ershoufang/101121303381.html,3室1厅,558,2024-01-04,96,8.10,68.9,南 北,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101122079734.html,3室1厅,548,2023-11-26,1,7.94,69.0,南 北,毛坯,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101118488042.html,3室1厅,528,2023-06-11,73,7.58,69.7,南 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101118254385.html,2室1厅,503,2023-05-24,63,9.42,53.4,南 北,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101118917207.html,2室1厅,618,2023-04-21,2,10.27,60.2,南,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101118589003.html,2室1厅,512,2023-04-02,7,9.59,53.4,南,精装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101118615153.html,2室1厅,580,2023-03-29,1,10.70,54.2,南 北,其他,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101118074461.html,2室1厅,658,2023-03-05,12,10.88,60.5,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101117484058.html,3室1厅,586,2023-02-27,69,8.41,69.7,东南 北,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101117502715.html,2室1厅,496,2023-01-16,24,9.15,54.2,南 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101116207671.html,2室1厅,613,2023-01-03,142,10.18,60.2,南,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101116991502.html,3室1厅,729,2022-11-06,16,10.64,68.5,南 北,其他,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101116865185.html,2室1厅,535,2022-11-02,24,10.76,49.7,南 北,简装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101115975675.html,3室1厅,616,2022-10-06,73,9.33,66.0,西南 北,精装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101116304625.html,2室1厅,323,2022-09-12,15,6.11,52.9,东 西,简装,地下室(共6层),板楼
https://bj.ke.com/ershoufang/101115601043.html,1室1厅,400,2022-09-12,65,10.18,39.3,南,其他,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101114153203.html,3室1厅,615,2022-08-22,194,9.32,66.0,北 南,简装,中楼层(共6层),板楼
