链接,户型,成交价格(万),成交日期,成交周期(天),单价,面积(平米),朝向,装修,楼层,楼型
https://bj.ke.com/ershoufang/101125775444.html,1室1厅,350,2024-08-27,28,8.18,42.8,南 北,简装,低楼层(共18层),塔楼
https://bj.ke.com/ershoufang/101124571124.html,2室1厅,645,2024-07-03,40,10.79,59.8,南 北,其他,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/101123737705.html,3室1厅,900,2024-04-28,,12.06,74.6,南 北,其他,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101122573175.html,3室1厅,806,2024-03-01,55,10.48,76.9,东南,简装,低楼层(共18层),塔楼
https://bj.ke.com/ershoufang/101118304180.html,2室1厅,690,2023-09-07,183,11.92,57.9,南,简装,中楼层(共18层),塔楼
https://bj.ke.com/ershoufang/101115880389.html,3室1厅,1018,2022-09-18,63,13.65,74.6,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101116086393.html,3室1厅,1066,2022-08-08,4,13.49,79.0,南 北,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101114988554.html,4室2厅,1570,2022-07-29,94,12.58,124.79,南 北,精装,高楼层(共6层),板塔结合
https://bj.ke.com/ershoufang/101114918832.html,3室1厅,908,2022-07-09,62,12.95,70.1,西南 北,精装,中楼层(共18层),塔楼
https://bj.ke.com/ershoufang/101114766145.html,2室1厅,825,2022-04-16,13,14.32,57.6,南 北,简装,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/101113397448.html,3室1厅,1025,2021-11-13,,14.38,71.3,南 北,其他,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/101111934386.html,2室1厅,729,2021-07-19,9,12.57,58.0,南 北,简装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101112120279.html,1室1厅,570,2021-07-14,13,12.58,45.3,南,精装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101109121133.html,3室1厅,1060,2020-10-25,47,10.66,99.41,南 北,精装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101109382585.html,2室1厅,679,2020-10-24,22,11.79,57.6,南 北,其他,中楼层(共5层),板楼
https://bj.ke.com/ershoufang/101109548102.html,3室1厅,855,2020-10-19,2,10.82,79.0,南 北,其他,低楼层(共6层),
https://bj.ke.com/ershoufang/101108792858.html,3室1厅,1045,2020-10-16,8,11.13,93.9,南 北,其他,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101108855461.html,1室1厅,455,2020-09-03,18,10.16,44.8,南,其他,高楼层(共18层),塔楼
https://bj.ke.com/ershoufang/101105799331.html,2室1厅,650,2020-08-31,346,10.22,63.6,南,其他,低楼层(共18层),塔楼
