链接,户型,成交价格(万),成交日期,成交周期(天),单价,面积(平米),朝向,装修,楼层,楼型
https://bj.ke.com/ershoufang/101125847573.html,3室1厅,625,2024-08-21,10,5.03,124.25,西北,简装,低楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101125053987.html,2室1厅,528,2024-06-23,,6.47,81.61,西南,简装,中楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101123562216.html,1室1厅,355,2024-06-05,75,5.46,65.0,西南,精装,低楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101124442814.html,3室1厅,610,2024-06-05,21,5.74,106.34,东北,简装,高楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101122637137.html,2室1厅,490,2024-04-14,91,6.41,76.47,北 南,简装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101123097864.html,2室1厅,520,2024-03-29,29,5.55,93.63,东南,精装,高楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101119035387.html,3室2厅,725,2024-03-29,335,5.08,142.59,东南 北,简装,低楼层(共18层),塔楼
https://bj.ke.com/ershoufang/101121948823.html,3室1厅,639,2024-03-24,129,6.01,106.34,东南 北,简装,中楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101122867804.html,2室2厅,600,2024-03-16,42,6.81,88.16,南,简装,中楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101122532165.html,3室1厅,580,2024-03-09,66,5.45,106.34,东北,简装,中楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101122660467.html,2室1厅,530,2024-03-03,49,6.49,81.61,东南,简装,高楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101119994094.html,4室2厅,755,2024-02-02,215,3.76,200.88,南 北,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101120435070.html,2室1厅,505,2024-01-14,163,6.15,82.11,东 南,简装,低楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101121297820.html,3室2厅,725,2024-01-08,96,5.48,132.2,东 南 北,简装,低楼层(共18层),塔楼
https://bj.ke.com/ershoufang/101121950942.html,3室2厅,949,2024-01-08,52,6.41,147.95,南 东南,简装,中楼层(共18层),塔楼
https://bj.ke.com/ershoufang/101119778782.html,3室1厅,707,2024-01-07,205,5.52,128.07,南 北,精装,中楼层(共7层),板楼
https://bj.ke.com/ershoufang/101121283774.html,2室1厅,568,2023-11-26,50,6.96,81.61,东南,精装,高楼层(共16层),塔楼
https://bj.ke.com/ershoufang/101117409671.html,2室1厅,510,2023-11-14,341,6.21,82.11,西南,简装,中楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101116011248.html,2室1厅,554,2023-10-15,280,6.92,80.05,南 北,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101120258898.html,3室1厅,620,2023-10-14,85,5.35,115.84,南,精装,底层(共18层),塔楼
https://bj.ke.com/ershoufang/101119111628.html,2室1厅,550,2023-08-16,105,6.88,80.0,南 北,简装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101119059181.html,2室1厅,596,2023-06-24,52,6.41,92.96,东南,简装,低楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101119003238.html,2室1厅,593,2023-05-29,32,7.27,81.61,西南,简装,中楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101118746362.html,2室1厅,606,2023-05-04,26,7.43,81.61,西南,精装,低楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101117610690.html,2室1厅,603,2023-05-02,115,7.88,76.52,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101118618728.html,3室1厅,710,2023-04-26,28,6.68,106.34,东北,其他,高楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101117145117.html,4室1厅,648,2023-04-22,169,5.24,123.61,南 北,其他,顶层(共6层),板楼
https://bj.ke.com/ershoufang/101118428652.html,2室1厅,615,2023-04-19,34,6.57,93.63,东南,精装,中楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101117287705.html,1室1厅,475,2023-04-16,148,6.48,73.32,东,其他,低楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101117640157.html,3室1厅,888,2023-04-15,94,6.34,140.0,西 南 北,其他,高楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101117656778.html,2室1厅,581,2023-03-19,,7.43,78.17,东南,简装,高楼层(共24层),
https://bj.ke.com/ershoufang/101117840882.html,1室1厅,459,2023-03-14,30,7.06,65.0,西,其他,低楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101116032675.html,2室1厅,612,2023-03-13,227,7.45,82.11,东南,简装,高楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101117587433.html,2室1厅,589,2023-03-05,58,7.55,78.0,西南,精装,高楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101118075629.html,2室1厅,678,2023-02-28,3,6.98,97.11,南,其他,中楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101116997639.html,2室1厅,607,2023-02-19,119,6.63,91.59,西南,精装,低楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101114550285.html,2室1厅,588,2023-02-14,324,7.20,81.61,东南,精装,顶层(共16层),塔楼
https://bj.ke.com/ershoufang/101116703942.html,2室1厅,628,2023-02-12,140,7.70,81.61,东 南,精装,中楼层(共16层),塔楼
https://bj.ke.com/ershoufang/101116354014.html,2室1厅,594,2023-02-11,169,7.23,82.11,东南,精装,中楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101117357262.html,2室1厅,573,2023-02-09,63,7.33,78.17,东南,其他,高楼层(共16层),塔楼
https://bj.ke.com/ershoufang/101117118229.html,2室1厅,640,2023-01-26,85,6.59,97.11,南,简装,中楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101117619276.html,3室2厅,708,2023-01-09,2,6.66,106.34,南 东北,简装,高楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101116785464.html,3室1厅,1010,2023-01-03,93,6.25,161.52,东南,精装,高楼层(共18层),塔楼
https://bj.ke.com/ershoufang/101114552708.html,2室1厅,613,2022-11-17,247,7.48,82.0,西南,精装,中楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101114756504.html,2室1厅,620,2022-11-07,217,7.60,81.61,西南,简装,中楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101114774538.html,3室1厅,798,2022-10-30,209,6.04,132.2,西南 北,简装,中楼层(共18层),塔楼
https://bj.ke.com/ershoufang/101116981299.html,3室1厅,706,2022-10-29,9,6.64,106.34,西北,简装,低楼层(共16层),塔楼
https://bj.ke.com/ershoufang/101116414473.html,2室1厅,515,2022-10-18,1,6.27,82.11,东南,简装,底层(共24层),塔楼
https://bj.ke.com/ershoufang/101114963430.html,3室1厅,695,2022-10-01,148,6.54,106.34,南 西北,简装,低楼层(共16层),塔楼
https://bj.ke.com/ershoufang/101116311225.html,3室1厅,937,2022-08-29,8,5.80,161.52,南,其他,顶层(共18层),塔楼
https://bj.ke.com/ershoufang/101114334684.html,2室1厅,600,2022-08-17,174,5.93,101.13,南,简装,高楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101116105151.html,2室1厅,606,2022-08-11,6,7.57,80.05,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101113731712.html,2室1厅,600,2022-07-18,219,6.41,93.63,西南,简装,高楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101114992196.html,2室1厅,600,2022-07-15,81,7.50,80.05,南 北,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101115117767.html,2室1厅,592,2022-07-13,40,7.40,80.05,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101115641766.html,3室1厅,698,2022-07-05,7,6.56,106.34,西北,精装,高楼层(共16层),塔楼
https://bj.ke.com/ershoufang/101115161248.html,3室2厅,806,2022-06-24,42,6.10,132.2,南 西 北,精装,低楼层(共18层),塔楼
https://bj.ke.com/ershoufang/101111307540.html,3室2厅,805,2022-06-14,418,5.68,141.75,东南,简装,低楼层(共18层),塔楼
https://bj.ke.com/ershoufang/101114127636.html,3室1厅,720,2022-06-09,121,5.79,124.25,南 西北,精装,低楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101115014152.html,2室1厅,591,2022-06-05,38,6.36,92.96,东 南,简装,中楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101114742503.html,2室1厅,540,2022-04-28,26,6.91,78.17,西南,精装,中楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101114764585.html,3室1厅,720,2022-04-24,14,6.77,106.34,东北,简装,高楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101114897051.html,2室1厅,612,2022-04-23,4,7.45,82.11,西南,精装,高楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101114544087.html,2室1厅,596,2022-04-16,33,7.26,82.11,东南,简装,高楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101114817841.html,3室1厅,580,2022-04-10,2,5.45,106.34,西北,简装,底层(共24层),塔楼
https://bj.ke.com/ershoufang/101114301603.html,2室1厅,584,2022-04-08,30,7.11,82.11,东南,精装,中楼层(共16层),塔楼
https://bj.ke.com/ershoufang/101114600457.html,2室1厅,581,2022-03-26,6,7.59,76.52,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101109555975.html,3室1厅,800,2022-03-12,122,5.75,139.17,东南,简装,低楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101114447931.html,2室2厅,685,2022-03-09,4,7.77,88.16,南,简装,中楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101114112127.html,3室2厅,806,2022-03-06,27,5.69,141.75,东 南,精装,高楼层(共18层),塔楼
https://bj.ke.com/ershoufang/101113622733.html,2室1厅,494,2022-02-20,97,5.45,90.66,东南,精装,底层(共24层),塔楼
https://bj.ke.com/ershoufang/101114131044.html,2室1厅,679,2022-02-12,6,6.38,106.39,东南,精装,高楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101112760104.html,2室2厅,650,2022-01-23,150,5.97,108.79,西南,精装,高楼层(共18层),塔楼
https://bj.ke.com/ershoufang/101113052189.html,2室1厅,605,2022-01-04,107,6.46,93.63,西南,精装,低楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101112783101.html,3室2厅,798,2021-12-26,114,7.18,111.14,南 西,精装,中楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101113101204.html,2室1厅,645,2021-12-23,64,6.64,97.11,南,精装,中楼层(共24层),塔楼
https://bj.ke.com/ershoufang/101112619110.html,2室2厅,666,2021-12-23,127,7.55,88.16,南,简装,中楼层(共16层),塔楼
https://bj.ke.com/ershoufang/101113660757.html,3室1厅,785,2021-12-17,28,6.11,128.49,南 北,精装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101113416194.html,2室1厅,553,2021-12-11,20,6.73,82.11,南 西,精装,中楼层(共24层),塔楼
