链接,户型,成交价格(万),成交日期,成交周期(天),单价,面积(平米),朝向,装修,楼层,楼型
https://bj.ke.com/ershoufang/101126054890.html,3室1厅,555,2024-08-18,4,7.34,75.6,东 北,精装,中楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101126002889.html,3室1厅,662,2024-08-18,7,8.14,81.3,南,精装,中楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101125062717.html,3室1厅,620,2024-07-31,40,7.71,80.4,西南 北,简装,低楼层(共21层),塔楼
https://bj.ke.com/ershoufang/101124479745.html,3室1厅,540,2024-07-28,72,7.14,75.6,东北,精装,中楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101124953775.html,3室1厅,686,2024-07-28,43,8.10,84.7,东 南 北,精装,中楼层(共21层),塔楼
https://bj.ke.com/ershoufang/101124957035.html,1室1厅,251,2024-07-21,36,6.80,36.9,东南,精装,中楼层(共21层),塔楼
https://bj.ke.com/ershoufang/101124263312.html,2室1厅,416,2024-07-09,65,7.31,56.9,南 北,精装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101124281996.html,3室1厅,710,2024-06-30,55,8.11,87.6,南 西 北,精装,低楼层(共21层),塔楼
https://bj.ke.com/ershoufang/101123651892.html,3室1厅,670,2024-06-07,72,8.33,80.4,东南 北,精装,低楼层(共21层),塔楼
https://bj.ke.com/ershoufang/101124472824.html,2室1厅,473,2024-06-05,17,8.10,58.4,东,精装,高楼层(共21层),塔楼
https://bj.ke.com/ershoufang/101123931793.html,2室1厅,490,2024-05-28,38,7.70,63.6,东 北,简装,高楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101122045085.html,3室1厅,640,2024-05-09,169,7.96,80.4,南 西 北,精装,中楼层(共21层),塔楼
https://bj.ke.com/ershoufang/101122970242.html,2室1厅,486,2024-04-20,57,8.44,57.6,东南,精装,中楼层(共21层),塔楼
https://bj.ke.com/ershoufang/101122977922.html,1室1厅,249,2024-04-16,56,6.75,36.9,东南,简装,底层(共21层),塔楼
https://bj.ke.com/ershoufang/101123521495.html,2室1厅,405,2024-04-13,22,8.13,49.8,东,精装,顶层(共21层),塔楼
https://bj.ke.com/ershoufang/101123632102.html,2室1厅,606,2024-04-08,13,8.12,74.6,西 南,毛坯,低楼层(共17层),塔楼
https://bj.ke.com/ershoufang/101118517478.html,3室1厅,227,2024-03-15,360,4.02,56.5,南 北,毛坯,地下室(共6层),板楼
https://bj.ke.com/ershoufang/101122886970.html,3室1厅,740,2024-03-04,28,8.74,84.7,东 南 北,其他,低楼层(共21层),塔楼
https://bj.ke.com/ershoufang/101123026191.html,1室1厅,297,2024-03-03,10,7.60,39.1,南 西,简装,中楼层(共6层),板楼
