链接,户型,成交价格(万),成交日期,成交周期(天),单价,面积(平米),朝向,装修,楼层,楼型
https://bj.ke.com/ershoufang/101123492758.html,2室1厅,545,2024-08-04,134,7.81,69.8,南 北,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101124057217.html,2室1厅,562,2024-07-27,92,8.05,69.8,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101119242114.html,2室1厅,703,2023-06-19,36,10.07,69.8,南 北,毛坯,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101117841052.html,3室1厅,852,2023-04-23,58,9.91,86.0,南 北,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101118518925.html,3室1厅,1095,2023-03-23,2,10.20,107.35,南 西 北,简装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101117903753.html,3室1厅,945,2023-02-11,,10.36,91.18,南 北,其他,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101114676316.html,3室1厅,795,2022-04-17,22,9.27,85.75,东 西,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101114555057.html,2室1厅,718,2022-04-16,33,10.29,69.8,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101113399922.html,3室1厅,770,2022-01-13,81,9.94,77.5,南 北,精装,底层(共6层),板楼
https://bj.ke.com/ershoufang/101112707743.html,2室1厅,686,2021-08-22,2,9.83,69.8,南 北,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101111009176.html,2室1厅,719,2021-06-27,77,10.30,69.8,南 北,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101104503817.html,3室1厅,880,2021-03-03,622,9.65,91.18,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101110496636.html,2室1厅,670,2021-02-24,5,9.60,69.8,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101110442977.html,2室1厅,645,2021-02-18,,9.24,69.8,南 北,精装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/101110303753.html,2室1厅,630,2021-01-20,10,9.03,69.8,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101108236447.html,3室1厅,800,2020-11-07,129,8.77,91.18,南 北,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/101106357663.html,2室1厅,565,2020-01,,8.09,69.8,南 北,精装,高楼层(共6层),
https://bj.ke.com/ershoufang/101106019357.html,2室1厅,576,2019-10-31,7,8.25,69.8,南 北,其他,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101087286658.html,2室1厅,571,2019-09,,7.51,76.0,南 北,其他,中楼层(共6层),
https://bj.ke.com/ershoufang/101105148644.html,2室1厅,571,2019-09,,8.18,69.8,北 南,简装,中楼层(共6层),
https://bj.ke.com/ershoufang/101104603759.html,3室1厅,831,2019-07-19,,9.11,91.18,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/101104976321.html,2室1厅,571,2019-07,,8.18,69.8,南 北,简装,中楼层(共6层),
https://bj.ke.com/ershoufang/101104311295.html,3室1厅,820,2019-05-27,,8.99,91.18,南 北,简装,低楼层(共6层),
https://bj.ke.com/ershoufang/101103208909.html,2室1厅,545,2019-05,,6.90,78.97,东 南 西,简装,顶层(共6层),
https://bj.ke.com/ershoufang/101102367358.html,3室1厅,812,2018-05-07,,7.56,107.35,南 北,精装,顶层(共6层),
https://bj.ke.com/ershoufang/101102829841.html,2室1厅,561,2018-05,,7.67,73.1,东 西,其他,高楼层(共6层),
https://bj.ke.com/ershoufang/101102038342.html,2室1厅,575,2018-03-25,,7.28,78.97,东 西,简装,底层(共6层),
https://bj.ke.com/ershoufang/101101945346.html,2室1厅,605,2018-02-08,,7.81,77.5,东 南 北,其他,中楼层(共6层),
https://bj.ke.com/ershoufang/101102449723.html,2室1厅,572,2018-01-04,,8.19,69.8,南 北,精装,中楼层(共6层),
https://bj.ke.com/ershoufang/101102098841.html,2室1厅,590,2017-12-13,,8.07,73.1,东 西,精装,中楼层(共6层),
https://bj.ke.com/ershoufang/101101839286.html,2室1厅,563,2017-10-29,,8.07,69.8,南 北,其他,中楼层(共6层),
https://bj.ke.com/ershoufang/101100695708.html,2室2厅,588,2016-11-18,,8.09,72.7,南 北,精装,中楼层(共6层),
https://bj.ke.com/ershoufang/101100683741.html,3室1厅,780,2016-11-02,,8.55,91.18,南 北,简装,低楼层(共6层),
https://bj.ke.com/ershoufang/101100454911.html,2室1厅,520,2016-09-06,,7.45,69.8,南 北,简装,高楼层(共6层),
https://bj.ke.com/ershoufang/101100502012.html,2室1厅,513,2016-09-05,,7.35,69.8,南 北,简装,高楼层(共6层),
https://bj.ke.com/ershoufang/101092261532.html,2室2厅,590,2016-08-31,,7.93,74.4,南 北,简装,顶层(共6层),
https://bj.ke.com/ershoufang/101100505335.html,2室2厅,660,2016-08-30,,7.24,91.18,南 北,精装,中楼层(共6层),
https://bj.ke.com/ershoufang/BJHD91872510.html,2室2厅,516,2016-04-11,,5.66,91.18,南 北,精装,顶层(共6层),板楼
https://bj.ke.com/ershoufang/BJHD89642775.html,1室1厅,300,2016-03-06,,5.69,52.7,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/BJHD90796081.html,3室1厅,500,2015-11-29,,5.31,94.18,东 西,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/BJHD90688554.html,3室1厅,570,2015-11-29,,5.31,107.35,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/BJHD89551023.html,2室1厅,377,2015-08-21,,4.86,77.5,南 北,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/BJHD89337604.html,1室1厅,257,2015-07-07,,4.88,52.7,南 北,简装,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/BJHD89264651.html,2室1厅,350,2015-05-10,,4.90,71.44,东 西,其他,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/BJHD87252350.html,2室1厅,376,2015-04-30,,5.39,69.8,南 北,简装,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/BJHD88538638.html,2室1厅,385,2015-04-30,,4.97,77.5,南 北,简装,底层(共6层),板楼
https://bj.ke.com/ershoufang/BJHD88700828.html,2室1厅,341,2014-12-31,,4.89,69.8,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/BJHD88420022.html,3室1厅,500,2014-10-26,,5.05,99.0,南 北,精装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/BJHD87177919.html,2室1厅,330,2014-06-08,,4.73,69.8,南 北,简装,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/BJHD87194337.html,2室1厅,393,2014-03-08,,5.07,77.5,南 北,其他,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/BJHD86957851.html,2室1厅,433,2014-02-13,,4.75,91.18,南 北,其他,顶层(共6层),板楼
https://bj.ke.com/ershoufang/BJHD86332403.html,2室1厅,396,2013-12-10,,5.01,78.97,东 西,其他,高楼层(共6层),板楼
https://bj.ke.com/ershoufang/BJHD86314684.html,3室1厅,420,2013-08-30,,4.81,87.4,东 西,其他,中楼层(共6层),板楼
https://bj.ke.com/ershoufang/BJHD86203706.html,2室1厅,360,2013-08-26,,4.95,72.7,南 北,其他,低楼层(共6层),板楼
https://bj.ke.com/ershoufang/BJHD85826278.html,3室1厅,458,2013-08-25,,4.27,107.35,南 北,其他,顶层(共6层),板楼
https://bj.ke.com/ershoufang/BJHD84894136.html,2室2厅,350,2012-12-18,,3.84,91.18,南 北,其他,顶层(共6层),板楼
https://bj.ke.com/ershoufang/BJHD84758105.html,3室1厅,310,2012-08-04,,3.29,94.18,东 西,其他,高楼层(共6层),板楼
